goalarea,invalidgoalarea,author
3223.0,False,Harish Swaminathan Gopal
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
400.0,False,Sebastian Asen
380.0,False,Sebastian Asen
400.0,False,Sebastian Asen
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
50.184775848735036,False,Reference Generator
50.18477584873504,False,Reference Generator
50.18477584873503,False,Reference Generator
28.228936414913456,False,Sebastian Vogl
28.228936414913456,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.22893641491346,True,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
28.228936414913456,False,Sebastian Vogl
28.22893641491345,True,Sebastian Vogl
28.228936414913452,True,Sebastian Vogl
28.228936414913452,False,Sebastian Vogl
1322.8528246224646,True,Harish Swaminathan Gopal
2928.7374275928782,True,Harish Swaminathan Gopal
2639.5841778618774,True,Harish Swaminathan Gopal
6380.689284352889,True,Harish Swaminathan Gopal
2435.5,False,Harish Swaminathan Gopal
1080.9102723437863,True,Harish Swaminathan Gopal
1837.6564774879055,True,Harish Swaminathan Gopal
407.3015852986845,False,Sebastian Asen
405.75943232105374,False,Sebastian Asen
380.0,False,Sebastian Asen
400.55658225590156,False,Sebastian Asen
390.4653531121305,False,Sebastian Asen
50.18477584873505,False,Reference Generator
50.18477584873505,False,Reference Generator
50.18477584873506,False,Reference Generator
50.18477584873502,False,Reference Generator
50.18477584873503,False,Reference Generator
50.18477584873505,False,Reference Generator
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4.0,False,Sebastian Vogl
0.0,False,Sebastian Vogl
4082.0,False,Harish Swaminathan Gopal
412.5,False,Harish Swaminathan Gopal
1465.0,False,Harish Swaminathan Gopal
